node_name,load_zone,source
DOW_G67,LZ_HOUSTON,Settlement_Points_03052026
DOW_61_2_63,LZ_HOUSTON,Settlement_Points_03052026
IMP_RN1,LZ_NORTH,Settlement_Points_03052026
DOW_64,LZ_HOUSTON,Settlement_Points_03052026
SPTX12B_RN,LZ_WEST,Settlement_Points_03052026
A4_DGR1_RN,LZ_SOUTH,Settlement_Points_03052026
ABINDUST_RN,LZ_WEST,Settlement_Points_03052026
ADL_RN,LZ_HOUSTON,Settlement_Points_03052026
MYR_ALL,LZ_HOUSTON,Settlement_Points_03052026
AE_RN,LZ_HOUSTON,Settlement_Points_03052026
OLNEYTN_AGR1,LZ_WEST,Settlement_Points_03052026
ROUTE66_RN,LZ_WEST,Settlement_Points_03052026
SLTFRK_UN1_2,LZ_WEST,Settlement_Points_03052026
AMADEUS_ALL,LZ_WEST,Settlement_Points_03052026
AMISTAD_ALL,LZ_SOUTH,Settlement_Points_03052026
AMOCO_PUN1,LZ_HOUSTON,Settlement_Points_03052026
AMOCO_PUN2,LZ_HOUSTON,Settlement_Points_03052026
MAVCRK_W_ALL,LZ_WEST,Settlement_Points_03052026
AMO_AMOCO_S2,LZ_HOUSTON,Settlement_Points_03052026
NF_BRP_RN,LZ_SOUTH,Settlement_Points_03052026
ANDMDSLR_ALL,LZ_WEST,Settlement_Points_03052026
ANG_ALL,LZ_WEST,Settlement_Points_03052026
ANOL_ESS_RN,LZ_NORTH,Settlement_Points_03052026
APPLE_ESR_RN,LZ_WEST,Settlement_Points_03052026
AQUI_ALL,LZ_NORTH,Settlement_Points_03052026
ARY_BESS_RN,LZ_SOUTH,Settlement_Points_03052026
MCLNSLR_RN,LZ_SOUTH,Settlement_Points_03052026
PITSDD_UNIT1,LZ_NORTH,Settlement_Points_03052026
ANCHOR_ALL,LZ_NORTH,Settlement_Points_03052026
CAPRIDG4_CR4,LZ_WEST,Settlement_Points_03052026
AUSTPL_ALL,LZ_SOUTH,Settlement_Points_03052026
SC2SES_UNIT1,LZ_NORTH,Settlement_Points_03052026
UCC_COG_PUN2,LZ_HOUSTON,Settlement_Points_03052026
GOA_GOATWIND,LZ_WEST,Settlement_Points_03052026
TRSES_UNIT6,LZ_NORTH,Settlement_Points_03052026
OUTP_SLR_RN,LZ_SOUTH,Settlement_Points_03052026
AVIAT_ALL,LZ_WEST,Settlement_Points_03052026
BRA_AVR_CST1,LZ_SOUTH,Settlement_Points_03052026
AZ_ALL,LZ_HOUSTON,Settlement_Points_03052026
BAIRDWND_ALL,LZ_NORTH,Settlement_Points_03052026
BOOTLEG_UN1,LZ_WEST,Settlement_Points_03052026
BARROW_ALL,LZ_WEST,Settlement_Points_03052026
BART_SLR_RN,LZ_NORTH,Settlement_Points_03052026
TUL_SLR_ALL,LZ_SOUTH,Settlement_Points_03052026
BAYC_BESS_RN,LZ_SOUTH,Settlement_Points_03052026
CHIL_SLR,LZ_NORTH,Settlement_Points_03052026
